asv	sample	count	relab
002609775996f6d53a08357ce2a19397	FD200	8	9.325422266777018e-5
0034482a85bd38f27f973d62b032aabf	577	2	4.131036477052093e-5
0051213008a5ab7c508edad8a4d074ac	202	27	3.5283970622827424e-4
0062a8ca30e89b5e1e979da937a95156	FD538	1	1.2226433549333659e-5
00bf0958c6275f12aa75f11d79029099	198	9	9.295120061967467e-5
00bf0958c6275f12aa75f11d79029099	212	306	0.0031603408210689387
00bf0958c6275f12aa75f11d79029099	213	347	0.004330030697047593
00bf0958c6275f12aa75f11d79029099	228	116	0.0023829577435855297
00bf0958c6275f12aa75f11d79029099	229	239	0.004667239493829089
00bf0958c6275f12aa75f11d79029099	518	149	0.003172102529166312
00bf0958c6275f12aa75f11d79029099	519	28	2.708899702988497e-4
00bf0958c6275f12aa75f11d79029099	528	422	0.003740836280793199
00bf0958c6275f12aa75f11d79029099	529	630	0.011610549013103334
00bf0958c6275f12aa75f11d79029099	538	428	0.004529340176728927
00bf0958c6275f12aa75f11d79029099	566	228	0.0036597698197402845
00bf0958c6275f12aa75f11d79029099	568	201	0.0011751018713935773
00bf0958c6275f12aa75f11d79029099	571	1178	0.008915462044955726
00bf0958c6275f12aa75f11d79029099	577	269	0.005556244061635064
00bf0958c6275f12aa75f11d79029099	FD212	188	0.003355105828604062
00bf0958c6275f12aa75f11d79029099	FD213	844	0.007294979947448486
00bf0958c6275f12aa75f11d79029099	FD228	581	0.00806071200643747
00bf0958c6275f12aa75f11d79029099	FD229	442	0.005425376523585658
00bf0958c6275f12aa75f11d79029099	FD514	886	0.0075343339427696755
00bf0958c6275f12aa75f11d79029099	FD518	446	0.005716922603635245
00bf0958c6275f12aa75f11d79029099	FD519	227	0.003026464902339844
00bf0958c6275f12aa75f11d79029099	FD528	801	0.006445901903190761
00bf0958c6275f12aa75f11d79029099	FD529	1092	0.014839980974383367
00bf0958c6275f12aa75f11d79029099	FD538	386	0.004719403350042792
00bf0958c6275f12aa75f11d79029099	FD541	31	2.1952964004220635e-4
00bf0958c6275f12aa75f11d79029099	FD566	371	0.0033037980319693665
00bf0958c6275f12aa75f11d79029099	FD568	110	0.001343527859882258
00bf0958c6275f12aa75f11d79029099	FD571	356	0.004590231574604157
00bf0958c6275f12aa75f11d79029099	FD577	870	0.010673013224722134
00e97d51eebdd97f0c01e4da7ffd6e60	FD568	6	7.328333781175953e-5
010ed335fb48d4dbc5903cabedb35bb9	198	997	0.010296927446423961
010ed335fb48d4dbc5903cabedb35bb9	200	186	0.0015948553054662379
010ed335fb48d4dbc5903cabedb35bb9	201	1230	0.007213949314674815
010ed335fb48d4dbc5903cabedb35bb9	202	125	0.0016335171584642325
010ed335fb48d4dbc5903cabedb35bb9	212	159	0.0016421378776142524
010ed335fb48d4dbc5903cabedb35bb9	213	767	0.009570990042177244
010ed335fb48d4dbc5903cabedb35bb9	228	766	0.01573573820333203
010ed335fb48d4dbc5903cabedb35bb9	229	1605	0.031342758943915014
010ed335fb48d4dbc5903cabedb35bb9	514	325	0.004818669750615307
010ed335fb48d4dbc5903cabedb35bb9	518	205	0.004364302137443583
010ed335fb48d4dbc5903cabedb35bb9	519	20	1.934928359277498e-4
010ed335fb48d4dbc5903cabedb35bb9	528	205	0.001817230894698118
010ed335fb48d4dbc5903cabedb35bb9	529	278	0.0051233851200678205
010ed335fb48d4dbc5903cabedb35bb9	538	400	0.0042330282025504
010ed335fb48d4dbc5903cabedb35bb9	541	515	0.0028079319989749683
010ed335fb48d4dbc5903cabedb35bb9	560	54	0.0013732421229306004
010ed335fb48d4dbc5903cabedb35bb9	566	1044	0.016757893385126565
010ed335fb48d4dbc5903cabedb35bb9	568	392	0.0022917409631158323
010ed335fb48d4dbc5903cabedb35bb9	571	517	0.003912813138575645
010ed335fb48d4dbc5903cabedb35bb9	577	115	0.002375345974304953
010ed335fb48d4dbc5903cabedb35bb9	FD198	1839	0.015997564264277325
010ed335fb48d4dbc5903cabedb35bb9	FD200	78	9.092286710107592e-4
010ed335fb48d4dbc5903cabedb35bb9	FD201	519	0.010924015996632288
010ed335fb48d4dbc5903cabedb35bb9	FD202	162	0.0016591730763322033
010ed335fb48d4dbc5903cabedb35bb9	FD212	72	0.00128493414712496
010ed335fb48d4dbc5903cabedb35bb9	FD213	1740	0.01503941363573503
010ed335fb48d4dbc5903cabedb35bb9	FD228	2368	0.032853297816254616
010ed335fb48d4dbc5903cabedb35bb9	FD229	1399	0.01717217591967497
010ed335fb48d4dbc5903cabedb35bb9	FD514	1209	0.010281049364343722
010ed335fb48d4dbc5903cabedb35bb9	FD518	685	0.008780475299305254
010ed335fb48d4dbc5903cabedb35bb9	FD519	21	2.799813345776948e-4
010ed335fb48d4dbc5903cabedb35bb9	FD528	283	0.002277391059429445
010ed335fb48d4dbc5903cabedb35bb9	FD529	431	0.005857171977984643
010ed335fb48d4dbc5903cabedb35bb9	FD538	304	0.0037168357989974324
010ed335fb48d4dbc5903cabedb35bb9	FD541	415	0.0029388645360488913
010ed335fb48d4dbc5903cabedb35bb9	FD560	74	0.0012888169009178465
010ed335fb48d4dbc5903cabedb35bb9	FD566	2026	0.018041764993989046
010ed335fb48d4dbc5903cabedb35bb9	FD568	333	0.004067225248552654
010ed335fb48d4dbc5903cabedb35bb9	FD571	129	0.0016633142503481356
